dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,RandomForest,threshold_false_alerts_per_10000_benign,413.3783783784,51.7211671677,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[356.7567567567568, 488.9189189189189, 307.56756756756755, 434.05405405405406, 393.5135135135135, 417.8378378378378, 426.2162162162162, 452.1621621621622, 405.94594594594594, 450.81081081081084]"
unsw,ExtraTrees,accuracy,0.7524024681,0.0008248678,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7530486323665161, 0.7519190594179663, 0.7514696594276831, 0.7525627945391828, 0.7530364864208328, 0.751724724287033, 0.7531700918233494, 0.7525506485934995, 0.7510324053830831, 0.7535101783024827]"
unsw,ExtraTrees,balanced_accuracy,0.4745616579,0.0014694789,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.47315206223818357, 0.47531209882227554, 0.4740770508620201, 0.4730219447217715, 0.4749404116214865, 0.47422878030884635, 0.47423057289245946, 0.4761049561928222, 0.47298119533210137, 0.47756750572883166]"
unsw,ExtraTrees,macro_precision,0.5388277094,0.0061541892,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5429018496603184, 0.5336593290476537, 0.5505321337437671, 0.5324377298909755, 0.5428703517386716, 0.5351991797408935, 0.5332740011609445, 0.5414545976796381, 0.5430246571492822, 0.5329232642535809]"
unsw,ExtraTrees,macro_recall,0.4745616579,0.0014694789,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.47315206223818357, 0.47531209882227554, 0.4740770508620201, 0.4730219447217715, 0.4749404116214865, 0.47422878030884635, 0.47423057289245946, 0.4761049561928222, 0.47298119533210137, 0.47756750572883166]"
unsw,ExtraTrees,macro_f1,0.4654558370,0.0014369674,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.46515603240931835, 0.46625144242141303, 0.46448003718810976, 0.463206785259056, 0.4662919977525835, 0.4638049316225198, 0.46684798274228206, 0.46730151005345666, 0.46437704877252833, 0.4668406015304193]"
unsw,ExtraTrees,weighted_f1,0.7718121835,0.0006252109,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7720179230961467, 0.7716924053432793, 0.7713313631040181, 0.7722377514055541, 0.7719860935911399, 0.7714089967372215, 0.7723283497416883, 0.7717290830485949, 0.7705645818251663, 0.7728252870957137]"
unsw,ExtraTrees,mcc,0.6794383106,0.0009047850,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6801451996762676, 0.6786957819963517, 0.6784389418167801, 0.6794322181519736, 0.6802034845111677, 0.6788558739253815, 0.68008885760947, 0.6796648082484643, 0.6780292383610002, 0.6808287015369652]"
unsw,ExtraTrees,log_loss,2.2991628272,0.0220757033,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2.347970287506858, 2.3009402685591045, 2.312181373187512, 2.2732711116116056, 2.2867534268674223, 2.3016782184702436, 2.3044333554908927, 2.2686543540344735, 2.2934771621627044, 2.302268713715794]"
unsw,ExtraTrees,macro_roc_auc_ovr,0.9046531377,0.0013106518,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9029951596501995, 0.9054426352785038, 0.9052782139757184, 0.9061179036960093, 0.906202097886637, 0.9035026527506289, 0.9032264094450865, 0.9055497292795602, 0.9052027665889897, 0.9030138083704113]"
unsw,ExtraTrees,macro_pr_auc_ovr,0.5025721910,0.0019234065,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.49963127825359266, 0.5025308226819665, 0.5053116048688902, 0.5032418239389773, 0.5041180625005655, 0.502803829964781, 0.502878238552032, 0.5042943127942506, 0.5015124760255703, 0.499399460420819]"
unsw,ExtraTrees,attack_pr_auc,0.9735378677,0.0006419576,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9730194377753503, 0.973506836077707, 0.9743581084441308, 0.9737860897942833, 0.9727255595066113, 0.9732009540915553, 0.9733693835611772, 0.9748175690314691, 0.9735710371159634, 0.9730237018341599]"
