dataset,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,smotenc,macro_precision,0.5147424524,0.0046102704,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5169161028393641, 0.5125251396745705, 0.5136025322745441, 0.5098367225295206, 0.5109008207683199, 0.5204116040894468, 0.5180465497512146, 0.5132572040655262, 0.5091345727999586, 0.5227932756790441]"
unsw,smotenc,macro_recall,0.5712128827,0.0077117950,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5714462281395175, 0.5662930313572707, 0.558025639263884, 0.5659912345991155, 0.564785991198366, 0.5761971215963257, 0.5786608666293872, 0.5769876831420078, 0.5701313884792563, 0.5836096429318514]"
unsw,smotenc,macro_f1,0.5118815626,0.0055414890,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5144259251872281, 0.5074389182109849, 0.5036536668761471, 0.5080144930237211, 0.5064262002851663, 0.5188881799057691, 0.517384306875034, 0.5157158248650546, 0.5090264685225788, 0.5178416418761896]"
unsw,smotenc,weighted_f1,0.7825455255,0.0008903027,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7815570745092738, 0.7829608148378407, 0.7821630424186681, 0.7837099060723964, 0.7812836132569012, 0.7838946187333908, 0.7826219376698185, 0.7831660853909115, 0.7817442432481247, 0.7823539189933222]"
unsw,smotenc,mcc,0.6852606857,0.0016739865,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6839733781979482, 0.688413782660743, 0.6861729778680106, 0.6861167599532727, 0.6844308903314462, 0.6867542006636429, 0.685066260882729, 0.6846776608318912, 0.6823686177553742, 0.6846323273843915]"
unsw,smotenc,log_loss,0.5620987146,0.0026946400,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5641079265525516, 0.5596135857956923, 0.5639506968217176, 0.5596073617964774, 0.5618411878096209, 0.560587944107179, 0.5598143215424262, 0.5603192807762648, 0.56787822165757, 0.5632666189533988]"
unsw,smotenc,macro_roc_auc_ovr,0.9622027117,0.0004282212,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9614485766390581, 0.9622860728144399, 0.9617344157534797, 0.9623364165225066, 0.9625251802846012, 0.9622639481896063, 0.962725056518585, 0.9620199775864837, 0.9619056919228347, 0.9627817807601614]"
unsw,smotenc,macro_pr_auc_ovr,0.5656488205,0.0038213717,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5646131579390501, 0.5599686817928867, 0.566742670473052, 0.5646438694174952, 0.5654716784073368, 0.5683369234860873, 0.5697279641440631, 0.5656214979032569, 0.5596815709117525, 0.5716801905822011]"
unsw,smotenc,attack_pr_auc,0.9870703278,0.0001901455,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9870737918673362, 0.9873033282104334, 0.9871402927064337, 0.9872629915225597, 0.9869305471384099, 0.9870960183324896, 0.9869251314592402, 0.9871006433789447, 0.9866610407667645, 0.9872094922538494]"
unsw,smotenc,default_attack_recall,0.9760081179,0.0011373031,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9753154504544251, 0.9769919703520692, 0.9774993382158299, 0.9770581487690815, 0.9760654725138974, 0.9756463425394865, 0.9755139857054619, 0.9762419482925968, 0.9734845142504192, 0.9762640077649343]"
unsw,smotenc,false_alerts_per_10000_benign,2504.7027027027,15.1935808470,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2506.7567567567567, 2482.972972972973, 2516.7567567567567, 2507.027027027027, 2529.7297297297296, 2484.054054054054, 2507.027027027027, 2509.4594594594596, 2488.3783783783783, 2514.864864864865]"
unsw,smotenc,attack_recall_at_validation_1pct_fpr,0.9090245301,0.0048639394,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8997617576987559, 0.9136592252713315, 0.9069972646254302, 0.9111003264801906, 0.9101958881143563, 0.9082325950763258, 0.9041736521662402, 0.9143430689137916, 0.906622253595694, 0.9151592693902761]"
unsw,smotenc,attack_precision_at_validation_1pct_fpr,0.9552067227,0.0052765253,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9661510765805245, 0.9498452012383901, 0.9572768969290587, 0.955092035889372, 0.9533723052750757, 0.956020991037013, 0.9595467740425133, 0.9491847577173216, 0.9564579939492669, 0.9491191946922901]"
unsw,smotenc,test_fpr_at_validation_1pct_fpr,0.0522891892,0.0066768859,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.038621621621621624, 0.059108108108108105, 0.049594594594594595, 0.05248648648648649, 0.05454054054054054, 0.05118918918918919, 0.0467027027027027, 0.05997297297297297, 0.05056756756756757, 0.060108108108108106]"
